Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,493.700012,496.200012,486.5,490.649994,481.374847,7426191
2016-05-16,492,493.649994,477.25,486.450012,477.254272,5809867
2016-05-17,490.700012,505.5,490.299988,503.350006,493.834778,8982435
2016-05-18,498.5,503,495.25,501.100006,491.627319,8241793
2016-05-19,501.75,501.75,489,490.5,481.227692,5989236
2016-05-20,493.950012,495.700012,488.100006,490.600006,481.325836,5012902
2016-05-23,495.399994,495.399994,485,486.5,477.303314,4700955
2016-05-24,483.25,490.950012,482,488.950012,479.707001,4838908
2016-05-25,494,503,493.350006,502.149994,492.657471,7144175
2016-05-26,502.5,523,500.25,519,509.188934,11207975
2016-05-27,520.25,525,509,512.400024,502.713745,7699491
2016-05-30,513.950012,522.049988,512.5,513.700012,503.989136,4892196
2016-05-31,515,518.700012,510.700012,515.200012,505.460785,5706744
2016-06-01,524.849976,529.450012,510,511.950012,502.272217,9559476
2016-06-02,510.5,525,506.75,524.349976,514.437805,7013241
2016-06-03,527.150024,544.950012,527,542.650024,532.391907,13581215
2016-06-06,542.099976,545,530.299988,532.849976,522.7771,9416306
2016-06-07,539.099976,539.099976,526.75,534.400024,524.297791,11455340
2016-06-08,536.400024,541.450012,530.799988,539,528.810852,6988719
2016-06-09,542.950012,545.900024,537.099976,542.599976,532.342773,7019405
2016-06-10,540,549.150024,538.299988,541.049988,530.822083,6382258
2016-06-13,529.799988,534.599976,524,531.150024,521.109314,6788154
2016-06-14,535.799988,535.799988,525.5,529.650024,519.637634,8234417
2016-06-15,531.900024,533.400024,522.650024,528.799988,518.80365,7836638
2016-06-16,528,528.299988,516,523.450012,513.554871,5375177
2016-06-17,526.900024,533.900024,524.700012,526.900024,516.939636,7201452
2016-06-20,515,523.900024,514,522.450012,512.57373,11335041
2016-06-21,524.5,524.5,515.450012,517.400024,507.619232,5301794
2016-06-22,517.900024,521,513.599976,516.200012,506.441895,5374493
2016-06-23,518,528,514.799988,526.400024,516.449097,5874012
2016-06-24,502,511.600006,492.799988,510.5,500.849609,9745784
2016-06-27,507.399994,517.599976,507.149994,514.450012,504.724945,4612787
2016-06-28,515,520.5,512.75,514,504.283478,4479273
