Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,1206,1210,1192.150024,1207.25,1146.855469,2826032
2016-05-16,1210.199951,1223.650024,1205,1215,1154.217773,2266939
2016-05-17,1220,1225.75,1208.150024,1214.25,1153.505249,1898147
2016-05-18,1199,1214,1197.900024,1209.849976,1149.325439,2128298
2016-05-19,1210.949951,1216.150024,1201,1205.75,1145.430542,1977200
2016-05-20,1205,1219.5,1200,1201.599976,1141.488037,1997274
2016-05-23,1203.400024,1205.150024,1185,1188,1128.568604,2292973
2016-05-24,1191.050049,1191.75,1177.599976,1187.75,1128.331055,1742530
2016-05-25,1194.099976,1213.099976,1194.099976,1208.650024,1148.185547,1928698
2016-05-26,1210.099976,1239.800049,1210.099976,1234.150024,1172.40979,3068218
2016-05-27,1231.599976,1259.5,1231.599976,1247.5,1185.092041,3090382
2016-05-30,1241.5,1272,1241.5,1267.599976,1204.186279,2642850
2016-05-31,1265,1266.75,1239,1248.650024,1186.184448,6891019
2016-06-01,1246.050049,1268.5,1246,1258.199951,1195.256592,2420267
2016-06-02,1255,1274.900024,1254,1261.550049,1198.439209,2526776
2016-06-03,1260.050049,1279.300049,1260.050049,1266.900024,1203.521484,1999190
2016-06-06,1264.900024,1277,1261.099976,1266.75,1203.378906,2112884
2016-06-07,1267,1272.5,1255.099976,1257.400024,1194.496704,2846210
2016-06-08,1263.949951,1263.949951,1235.349976,1238.099976,1176.162109,4370685
2016-06-09,1226.25,1226.25,1180.050049,1185.5,1139.306641,6370402
2016-06-10,1175.400024,1190,1170.099976,1180.599976,1134.597412,3191978
2016-06-13,1176.800049,1184.900024,1166,1180.900024,1134.885742,2643361
2016-06-14,1182.400024,1182.400024,1167.25,1175,1129.215698,1470364
2016-06-15,1183.699951,1192.650024,1179.050049,1189.949951,1143.58313,3355786
2016-06-16,1189.5,1189.5,1170.099976,1186,1139.786987,2651282
2016-06-17,1189,1192.75,1175.099976,1179.5,1133.540283,4257541
2016-06-20,1181,1211.800049,1179.699951,1208.75,1161.650635,3114783
2016-06-21,1211.199951,1214.800049,1195.650024,1206.099976,1159.103882,2380862
2016-06-22,1204,1211.949951,1188.150024,1199.5,1152.760986,1515629
2016-06-23,1197.300049,1214.849976,1193.349976,1211.599976,1164.389404,1914313
2016-06-24,1188,1199,1160,1194.550049,1148.004028,3904174
2016-06-27,1172.050049,1183.199951,1160,1166.199951,1120.758545,2791889
2016-06-28,1162.800049,1172.5,1155.099976,1159.150024,1113.983398,3827987
2016-06-29,1169,1179.900024,1160.199951,1176.849976,1130.99353,2729575
2016-06-30,1180.5,1184.5,1167.949951,1170.800049,1125.179443,4673112
2016-07-01,1180,1180,1170.099976,1172.400024,1126.717041,1995956
2016-07-04,1176.199951,1194.599976,1176.199951,1183.949951,1137.816895,2690661
2016-07-05,1185,1187.5,1171.050049,1175.449951,1129.648071,1798208
2016-07-07,1168.699951,1171,1155,1157.25,1112.157349,2977438
2016-07-08,1163,1167,1153.5,1158.199951,1113.07019,2775824
2016-07-11,1167.400024,1178.699951,1160,1175.050049,1129.263794,3334441
2016-07-12,1180,1180.349976,1168,1176.550049,1130.705322,3098684
2016-07-13,1180,1195.800049,1175.199951,1193.800049,1147.283081,2637710
2016-07-14,1195,1196.050049,1164,1176.25,1130.416992,3706664
2016-07-15,1189.5,1189.900024,1052,1072.550049,1030.75769,30742063
2016-07-18,1077.25,1084.900024,1055.150024,1081.949951,1039.791382,7166412
2016-07-19,1088.599976,1090,1074.099976,1086.949951,1044.596558,5202322
2016-07-20,1070,1089.900024,1070,1083.099976,1040.896606,4911448
2016-07-21,1079,1087.199951,1075.599976,1079.900024,1037.821289,4334001
2016-07-22,1070,1079.900024,1066.699951,1072.449951,1030.661621,4693269
2016-07-25,1063,1083.25,1063,1080.849976,1038.734131,4234776
2016-07-26,1070.349976,1089.900024,1070.349976,1088.699951,1046.27832,3594805
2016-07-27,1084.699951,1096.5,1078.550049,1085.349976,1043.05896,3715910
2016-07-28,1085.400024,1086.949951,1074.050049,1077.5,1035.514893,5629281
2016-07-29,1072.599976,1076.75,1066.5,1073.849976,1032.00708,4078392
2016-08-01,1071.5,1087.849976,1068.349976,1085.25,1042.962769,4548331
2016-08-02,1079.900024,1085,1075,1083.800049,1041.569336,3411251
2016-08-03,1085.650024,1086.5,1070.300049,1084.900024,1042.626465,3606730
2016-08-04,1086.400024,1086.900024,1070.050049,1071.800049,1030.036865,2118639
2016-08-05,1072,1073.449951,1060,1068,1026.38501,2804984
2016-08-08,1069,1081,1062.550049,1078.699951,1036.668091,2321532
2016-08-09,1077,1084.5,1071.5,1083.400024,1041.185059,3596332
2016-08-10,1076,1087.900024,1075.199951,1082.349976,1040.175781,2788227
2016-08-11,1081.699951,1095,1075.25,1077.349976,1035.370728,2519276
2016-08-12,1075.050049,1078.800049,1060,1062.550049,1021.147278,3724964
2016-08-16,1042,1058.050049,1028,1051.800049,1010.816284,8214704
2016-08-17,1049.949951,1052.650024,1030.5,1033.300049,993.03717,3299658
2016-08-18,1036.5,1039.099976,1021.5,1023.400024,983.522827,4217000
2016-08-19,1030,1039,1018.450012,1021.299988,981.504639,2843008
2016-08-22,1018,1030,1009.099976,1015.450012,975.882629,5126759
2016-08-23,1020.099976,1042,1020.099976,1039.650024,999.139709,3703069
2016-08-24,1047,1062.050049,1047,1057.400024,1016.197998,3064983
2016-08-25,1055,1057.599976,1032.099976,1036.150024,995.776062,2398281
2016-08-26,1036,1046,1017.049988,1020.25,980.495544,3440527
2016-08-29,1017.599976,1030,1011,1022.799988,982.946228,2610141
2016-08-30,1032.449951,1045,1025,1040.400024,999.860413,2187719
2016-08-31,1037.099976,1045.75,1027.800049,1035.849976,995.487732,5569907
2016-09-01,1038,1040.449951,1032,1037.550049,997.121521,1438913
2016-09-02,1039.050049,1040,1026.199951,1031.849976,991.643555,1666296
2016-09-06,1038.25,1048.900024,1035.599976,1045,1004.281189,4107522
2016-09-07,1048,1059,1044,1054.349976,1013.266724,3712735
2016-09-08,1045,1045,1024,1037.650024,997.217651,4546387
2016-09-09,1037,1041,1026.550049,1035.5,995.151428,2526719
2016-09-12,1025.25,1058,1025.25,1054,1012.930481,3101548
2016-09-14,1053.949951,1057.800049,1040.650024,1045.599976,1004.857727,2576209
2016-09-15,1045.599976,1046.800049,1035.349976,1042.199951,1001.590271,2350861
2016-09-16,1049,1064.5,1038.099976,1060.150024,1018.84082,4974692
2016-09-19,1046,1068.900024,1041.349976,1061.199951,1019.849915,2904577
2016-09-20,1053.300049,1057.150024,1045.75,1050.150024,1009.230469,2107002
2016-09-21,1054,1061.25,1051.050049,1055.75,1014.612305,2115766
2016-09-22,1059,1061,1052,1058.800049,1017.543457,1814757
2016-09-23,1057,1058.800049,1040,1042.550049,1001.926758,2602647
2016-09-26,1042.75,1044,1031,1035.900024,995.535767,3185899
2016-09-27,1035.050049,1049.900024,1033.349976,1039.75,999.235718,3262830
2016-09-28,1040,1042.300049,1033.25,1038.949951,998.466919,2717354
2016-09-29,1044.949951,1044.949951,1024,1029.199951,989.096802,4451319
2016-09-30,1031.099976,1043.900024,1031.099976,1036.050049,995.679932,3251177
2016-10-03,1035.5,1040,1026.099976,1038.099976,997.650024,1828080
2016-10-04,1040,1051.400024,1038.300049,1049.199951,1008.317444,2533293
2016-10-05,1049.199951,1049.849976,1037,1041.5,1000.917603,1153787
2016-10-06,1045,1045,1025.949951,1027.400024,987.367004,1860941
2016-10-07,1029.949951,1033.800049,1010.099976,1012.549988,973.095642,3144279
2016-10-10,1017,1031.75,1010,1029.949951,989.817566,2706585
2016-10-13,1021.400024,1058,1021.400024,1052.349976,1011.344788,4889345
2016-10-14,1052.900024,1082.699951,996.25,1027.150024,987.126709,16730845
2016-10-17,1034.949951,1041.800049,1017.349976,1022.400024,982.561829,4007429
2016-10-18,1030,1040.5,1027.300049,1039.050049,998.563049,3194067
