Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,2565,2566,2510.149902,2523.399902,2430.63208,810865
2016-05-16,2538,2564.800049,2522.5,2551.149902,2457.362549,555763
2016-05-17,2564.199951,2591.25,2552,2570.199951,2475.711914,878349
2016-05-18,2565.850098,2565.850098,2526.050049,2551.100098,2457.314209,750370
2016-05-19,2555,2560,2526.100098,2556.949951,2462.949219,519396
2016-05-20,2542.300049,2565.800049,2522.800049,2529.300049,2436.315674,615459
2016-05-23,2544,2545.899902,2480.199951,2491.449951,2399.857178,766508
2016-05-24,2484,2488.25,2459.600098,2467.699951,2376.979736,669579
2016-05-25,2481,2532.949951,2481,2526.449951,2433.570313,774339
2016-05-26,2530,2564.899902,2505.100098,2548.699951,2455.002197,971624
2016-05-27,2553.149902,2579.850098,2550.600098,2572.649902,2478.071533,552338
2016-05-30,2583,2641.949951,2582,2636.399902,2539.477783,674732
2016-05-31,2640,2647,2562,2569.399902,2474.940918,1861304
2016-06-01,2571.199951,2645,2571,2633.550049,2536.73291,955971
2016-06-02,2600,2654.300049,2600,2650.149902,2552.722656,704378
2016-06-03,2651.399902,2658,2620.5,2629.550049,2532.879883,777461
2016-06-06,2620.5,2639,2603.199951,2612.5,2542.563721,661013
2016-06-07,2614,2639,2613,2631.149902,2560.713867,601097
2016-06-08,2617.25,2628.550049,2605.5,2613.100098,2543.147461,469133
2016-06-09,2622.399902,2622.399902,2555.199951,2577.25,2508.257324,781069
2016-06-10,2566,2603.25,2553.199951,2555.75,2487.332764,698416
2016-06-13,2540,2553.350098,2518,2547,2478.816895,514989
2016-06-14,2558.949951,2558.949951,2518.25,2534.850098,2466.992432,488785
2016-06-15,2530,2564.899902,2522,2556.850098,2488.403564,635422
2016-06-16,2545.550049,2564.699951,2516.449951,2558.300049,2489.814697,572535
2016-06-17,2559,2610,2559,2602.600098,2532.928711,939494
2016-06-20,2602.600098,2668,2591.800049,2659.300049,2588.11084,936419
2016-06-21,2663.5,2665,2641.399902,2651.199951,2580.227295,513845
2016-06-22,2650,2677.699951,2631.75,2667.649902,2596.237061,880856
2016-06-23,2655,2659.5,2625.300049,2645.350098,2574.534424,698507
2016-06-24,2565.149902,2593.199951,2514.149902,2573.949951,2505.04541,1883293
2016-06-27,2547,2547,2482.649902,2495.850098,2429.035889,2136283
2016-06-28,2495.850098,2502.899902,2458.399902,2463.949951,2397.98999,2249762
2016-06-29,2475,2512.5,2465.300049,2502.899902,2435.897705,1265632
2016-06-30,2522,2562.899902,2500.350098,2553.100098,2484.753906,2560906
2016-07-01,2562,2564.600098,2494.350098,2500.850098,2433.902588,1098648
2016-07-04,2516,2525.850098,2482,2494.199951,2427.430664,941742
2016-07-05,2494.199951,2497.050049,2477.149902,2485.300049,2418.768555,779874
2016-07-07,2487.699951,2491.850098,2425,2429.800049,2364.754639,1658400
2016-07-08,2435,2442.050049,2403.5,2426.600098,2361.640381,1228178
2016-07-11,2430,2471.800049,2427,2464.149902,2398.185059,771816
2016-07-12,2471.699951,2475,2435.850098,2464.949951,2398.963379,732768
2016-07-13,2478,2499.25,2451.25,2493.100098,2426.360107,1051150
2016-07-14,2486,2529,2471,2521.899902,2454.388916,1349994
2016-07-15,2517,2527.800049,2426.550049,2445.350098,2379.888184,4168183
2016-07-18,2447,2469,2430.600098,2433.449951,2368.306641,1299425
2016-07-19,2427.5,2472.800049,2427.5,2466.199951,2400.180176,1181448
2016-07-20,2450,2502.5,2448.149902,2494.949951,2428.160156,1407626
2016-07-21,2489.5,2519.5,2464.449951,2506.050049,2438.963379,1263574
2016-07-22,2498.899902,2524,2492,2515.100098,2447.77124,758608
2016-07-25,2512,2563.199951,2505.800049,2558.949951,2496.900391,844398
2016-07-26,2558.949951,2568,2533,2552.600098,2490.704102,1155645
2016-07-27,2555,2580.399902,2545,2577.550049,2515.049072,875255
2016-07-28,2580.5,2629.550049,2577.050049,2619.25,2555.738281,2316040
2016-07-29,2614,2634.899902,2599,2619.300049,2555.786621,1244042
2016-08-01,2632,2725,2632,2708.25,2642.579834,1980852
2016-08-02,2702.899902,2715.699951,2689.800049,2699.199951,2633.749268,1289081
2016-08-03,2686,2699,2649.050049,2656.300049,2591.889648,1147351
2016-08-04,2670,2682.949951,2636.25,2652,2587.693848,707708
2016-08-05,2673.899902,2684.300049,2632,2649.100098,2584.864014,934242
2016-08-08,2640,2668,2629.050049,2649.5,2585.25415,1029122
2016-08-09,2658,2659.800049,2578.850098,2650.199951,2585.937012,1130957
2016-08-10,2651,2682,2648,2675.399902,2610.526123,1031039
2016-08-11,2665.550049,2715,2665.550049,2709.899902,2644.189697,1116569
2016-08-12,2705,2744.800049,2702.050049,2738.449951,2672.047607,1163679
2016-08-16,2738,2740,2673.850098,2691.699951,2626.431396,1591877
2016-08-17,2699,2699,2618,2624.550049,2560.909424,924283
2016-08-18,2635,2657.550049,2630.100098,2638.550049,2574.570068,646032
2016-08-19,2640,2646.449951,2600,2603.5,2540.369873,1208122
2016-08-22,2588,2594.449951,2536.300049,2548.699951,2486.898682,1132637
2016-08-23,2544.949951,2604.949951,2540.199951,2601.050049,2537.979004,751687
2016-08-24,2589.800049,2602,2569.050049,2572.050049,2509.682373,558439
2016-08-25,2580,2589.699951,2526,2551.050049,2489.19165,969845
2016-08-26,2559.800049,2572.550049,2517.199951,2524.949951,2463.724609,625157
2016-08-29,2534.949951,2534.949951,2466.75,2500.550049,2439.91626,744364
2016-08-30,2510,2549.800049,2501.25,2544.149902,2482.458984,722013
2016-08-31,2550,2550,2500.850098,2511.300049,2450.405518,1615834
2016-09-01,2524.899902,2534.949951,2487.050049,2507.5,2446.697998,672868
2016-09-02,2512,2519.399902,2496.050049,2514.800049,2453.820557,871165
2016-09-06,2519.899902,2520.149902,2480,2484.050049,2423.816406,1119533
2016-09-07,2499.699951,2499.699951,2423,2440.550049,2381.371094,1927020
2016-09-08,2360,2360,2284.75,2322.100098,2265.793213,3510758
2016-09-09,2329.699951,2366.649902,2320.050049,2352.449951,2295.407227,1371219
2016-09-12,2337,2363.949951,2324,2359.050049,2301.847412,1012227
2016-09-14,2362,2377.600098,2310,2328.449951,2271.989014,1034929
2016-09-15,2339.949951,2342.100098,2316.75,2326.949951,2270.525635,1409482
2016-09-16,2336.699951,2376,2320,2361.699951,2304.432861,2179002
2016-09-19,2365,2427,2350,2411.449951,2352.976563,1401273
2016-09-20,2411,2416.899902,2385.399902,2406.5,2348.147217,592276
2016-09-21,2407.699951,2424,2400.699951,2413.399902,2354.87915,839010
2016-09-22,2425.25,2428,2371.100098,2378,2320.337891,1428787
2016-09-23,2382,2403.850098,2371.149902,2398.100098,2339.950439,900363
2016-09-26,2401.100098,2419.100098,2395,2401.100098,2342.877441,876738
2016-09-27,2401.100098,2448,2401.100098,2436.100098,2377.029053,1019396
2016-09-28,2431,2437.5,2415.199951,2423.050049,2364.29541,865664
2016-09-29,2435,2456.5,2419.600098,2437.800049,2378.687988,1801979
2016-09-30,2437.050049,2449.800049,2423.100098,2430.800049,2371.857666,1087682
2016-10-03,2450,2457.649902,2401.100098,2411.699951,2353.220459,909440
2016-10-04,2420,2425.050049,2398,2405.149902,2346.829346,890359
2016-10-05,2408,2415.399902,2376.100098,2386.350098,2328.485596,588177
2016-10-06,2395,2402.399902,2372.75,2388.75,2330.827393,1133786
2016-10-07,2388,2388,2358.199951,2367.800049,2310.385254,908256
2016-10-10,2369.899902,2386.899902,2355.050049,2380.300049,2322.582031,601071
2016-10-13,2363.300049,2369.899902,2320.899902,2328.899902,2272.428467,2586667
2016-10-14,2315,2387,2291,2366.199951,2308.823975,3870607
2016-10-17,2368.899902,2375.800049,2344.399902,2362.449951,2305.165039,1364173
2016-10-18,2376,2415.699951,2354.800049,2400.199951,2341.999512,1064316
2016-10-19,2401,2410,2370.300049,2395.100098,2337.023193,992529
2016-10-20,2396.899902,2409.350098,2386,2401.149902,2342.926758,632927
2016-10-21,2400,2431.899902,2398.25,2428.649902,2369.759277,629830
2016-10-24,2428.199951,2434.899902,2402.550049,2427.699951,2375.189453,626595
2016-10-25,2405,2414.600098,2381,2398.449951,2346.572266,886233
2016-10-26,2398.600098,2402.75,2372.5,2396.25,2344.419678,718565
2016-10-27,2379.699951,2429.5,2365.5,2418.100098,2365.797119,1470801
2016-10-28,2410,2415.100098,2388,2398.699951,2346.81665,876051
2016-11-01,2399.699951,2399.699951,2334.149902,2350,2299.170166,1467388
2016-11-02,2341,2344,2295,2304.050049,2254.213867,1162538
2016-11-03,2294,2335,2284.5,2319.449951,2269.281006,731655
2016-11-04,2320,2336.149902,2294,2330.550049,2280.140625,591876
2016-11-07,2337.899902,2344.899902,2260.050049,2277.050049,2227.798096,1024026
2016-11-08,2280.449951,2307,2260,2283.199951,2233.814941,966817
2016-11-09,2180,2275,2142.850098,2169.850098,2122.916748,2250113
2016-11-10,2204.800049,2217.5,2140.800049,2155.449951,2108.828125,1086213
2016-11-11,2147.050049,2147.050049,2086.199951,2101.149902,2055.702637,1199212
2016-11-15,2116.899902,2157.550049,2051.899902,2121.300049,2075.416992,3145162
2016-11-16,2145.100098,2208.899902,2138,2189.600098,2142.239746,2009979
2016-11-17,2185,2208.600098,2130.149902,2137.199951,2090.9729,1252344
2016-11-18,2142,2150,2104.199951,2125.100098,2079.134766,1070267
2016-11-21,2126.199951,2140,2105,2132.899902,2086.765869,896683
2016-11-22,2132,2177.449951,2122.050049,2135,2088.820557,659430
2016-11-23,2149,2162.949951,2127.199951,2156.350098,2109.709229,637904
2016-11-24,2154.899902,2207.600098,2137,2188.449951,2141.114502,1513117
2016-11-25,2212,2307.25,2192.199951,2300.350098,2250.594238,2138074
2016-11-28,2294,2319.449951,2251.899902,2282.600098,2233.228271,962148
2016-11-29,2275,2292,2252.550049,2259.850098,2210.970215,721148
2016-11-30,2265,2294.75,2242.300049,2276.050049,2226.819824,1722916
2016-12-01,2277,2290,2254.050049,2263.449951,2214.491943,561526
2016-12-02,2258,2270.800049,2205.199951,2221.850098,2173.792236,999016
2016-12-05,2229,2237.850098,2170,2186,2138.717285,1124763
2016-12-06,2190,2203.949951,2169.899902,2182.350098,2135.146484,796722
2016-12-07,2182.199951,2184.449951,2145.649902,2154.550049,2107.94751,1032853
2016-12-08,2160.5,2199,2160,2195.75,2148.256592,1619773
2016-12-09,2205,2219.899902,2173.300049,2195.25,2147.767334,794359
2016-12-12,2194.800049,2217.600098,2163,2208.199951,2160.437256,655879
2016-12-13,2218,2218,2183,2200.300049,2152.708496,1073767
2016-12-14,2214,2224.699951,2189,2207.600098,2159.850342,935183
2016-12-15,2202,2272.100098,2202,2259.300049,2210.431885,2147705
2016-12-16,2277,2290,2252,2282.649902,2233.276855,993615
2016-12-19,2280,2297.699951,2261.300049,2288.899902,2239.391846,667105
2016-12-20,2292,2345,2287.050049,2339.300049,2288.70166,1461380
2016-12-21,2343.800049,2343.800049,2305.600098,2313.600098,2263.557617,1017451
2016-12-22,2306,2325,2286.199951,2307.699951,2257.7854,934150
2016-12-23,2300,2317.75,2278.800049,2288.100098,2238.609375,559477
2016-12-26,2266,2301.600098,2266,2293.100098,2243.500977,448704
2016-12-27,2281.5,2330,2281.5,2323.399902,2273.145264,647346
2016-12-28,2326.699951,2349.899902,2303.149902,2313.399902,2263.361572,675209
2016-12-29,2303,2359.899902,2303,2351.699951,2300.833252,981758
2016-12-30,2354.899902,2378.600098,2345.649902,2365.550049,2314.384033,702874
2017-01-02,2366.600098,2375.100098,2352.399902,2361.350098,2310.274902,411566
2017-01-03,2361.25,2371.699951,2343.300049,2368.25,2317.025391,737662
2017-01-04,2369.699951,2388.850098,2358.300049,2379.5,2328.032227,710033
2017-01-05,2384,2389.949951,2320.399902,2334.399902,2283.907227,1108202
2017-01-06,2321,2329.350098,2257.100098,2281.399902,2232.053955,1504948
2017-01-09,2275,2311.300049,2257,2303.699951,2253.871338,927289
2017-01-10,2304,2329.800049,2291.5,2315.350098,2265.269531,766957
2017-01-11,2315,2329.600098,2280.199951,2324.399902,2274.123535,965648
2017-01-12,2324.399902,2360,2304,2344.350098,2293.642822,1285187
2017-01-13,2348,2357.949951,2237.850098,2249.300049,2200.648438,5117790
2017-01-16,2250,2273.899902,2228,2258.550049,2209.698242,1682404
2017-01-17,2254.899902,2287.800049,2252.800049,2278.75,2229.461426,1504978
