Date,Open,High,Low,Close,Adj Close,Volume
2016-05-13,727,728.900024,707,708.25,707.350098,1429506
2016-05-16,708.099976,720,703,718.25,717.337463,2438969
2016-05-17,719,725,708,708.900024,707.999329,2471677
2016-05-18,708,713.650024,700.25,708.900024,707.999329,1147912
2016-05-19,708.25,710.5,701.650024,706.049988,705.152954,964151
2016-05-20,709.900024,710.700012,700.25,702.150024,701.257935,600500
2016-05-23,706,710.650024,701,703.150024,702.256653,1437987
2016-05-24,702.900024,702.950012,692.5,698.400024,697.512634,2068972
2016-05-25,704,715.5,700.5,712.75,711.844421,2907812
2016-05-26,716.099976,739,714.349976,730.200012,729.272217,1936113
2016-05-27,734.400024,744.650024,733.099976,742.549988,741.606567,1293521
2016-05-30,748.700012,754.5,740.049988,742.599976,741.656433,729005
2016-05-31,743.299988,750,739.5,746.549988,745.601501,1167685
2016-06-01,749.75,749.75,740.400024,745.349976,744.402954,918251
2016-06-02,749,750,736.400024,746.299988,745.351746,1605981
2016-06-03,750,772.450012,743.099976,769.299988,768.32251,2480775
2016-06-06,770.099976,775,762.549988,765.25,764.27771,1157650
2016-06-07,770,778.849976,760.849976,772.049988,771.069031,1857761
2016-06-08,768.099976,770,755,759.349976,758.385132,1227612
2016-06-09,761.900024,761.900024,750.099976,752.75,751.793579,1301396
2016-06-10,751.099976,757.5,743.349976,750.700012,749.746216,1510634
2016-06-13,746,757.450012,745,755.900024,754.939636,1629842
2016-06-14,758.5,758.5,749.299988,752.099976,751.144409,663569
2016-06-15,757,768.099976,753,765.549988,764.577332,887211
2016-06-16,765.900024,765.900024,746.349976,754.450012,753.491455,1079000
2016-06-17,756,760.849976,748.75,751.099976,750.145691,814258
2016-06-20,741.799988,756.799988,740,751.950012,750.994629,894007
2016-06-21,750.099976,753.549988,742.799988,746.75,745.80127,702853
2016-06-22,747,750.950012,733.400024,739.349976,738.410583,2686930
2016-06-23,741,750.099976,738.150024,747.25,746.300537,987665
2016-06-24,730,738.049988,710.75,733.900024,732.967529,2002188
2016-06-27,723.049988,744.599976,723.049988,739.400024,738.460571,774869
2016-06-28,738.400024,747.799988,737.700012,743.299988,742.355591,761264
2016-06-29,745,754,742.650024,752.799988,751.843567,1477280
2016-06-30,759.900024,766.549988,754.25,763.349976,762.380066,3334365
2016-07-01,764,766,750.900024,753.400024,752.442749,1565210
2016-07-04,755.5,756.25,741.200012,743.950012,743.004761,1172694
2016-07-05,744.450012,747.400024,738.400024,740.400024,739.459351,1125300
2016-07-07,741,751.5,739.150024,745.900024,744.952332,963213
2016-07-08,745.099976,747.700012,737.599976,743.450012,742.505371,604463
2016-07-11,750.950012,763,747.099976,760.549988,759.583679,1871614
2016-07-12,765,766.75,757.950012,763.650024,762.679749,1541569
2016-07-13,763.450012,776.75,760.450012,775,774.01532,2018597
2016-07-14,779,784,774.400024,780.200012,779.711792,1555879
2016-07-15,779,781,767.650024,772.150024,771.666809,2059278
2016-07-18,775,782.849976,769.349976,776.799988,776.313904,2358938
2016-07-19,779.5,781.450012,769.400024,777.799988,777.313232,1608870
2016-07-20,778,784.349976,778,782.200012,781.71051,1316948
2016-07-21,786.5,787.5,759,760.650024,760.174011,3849134
2016-07-22,762,764.900024,753.25,760.049988,759.574341,1429617
2016-07-25,761.950012,773.200012,750,764.400024,763.921692,3393118
2016-07-26,765.5,766,746.349976,751.700012,751.229614,1749020
2016-07-27,752.099976,760,745.5,754,753.528137,1076756
2016-07-28,756,760.049988,745.650024,750.349976,749.880432,3435526
2016-07-29,751.5,766.150024,749.299988,763.5,763.022217,1457598
2016-08-01,766,769.450012,748,753.150024,752.678711,1750650
2016-08-02,750.299988,763,749.900024,760.099976,759.624329,1495743
2016-08-03,759,764,754.799988,756.200012,755.726807,1344312
2016-08-04,759.75,761.299988,751,756.400024,755.926697,1249512
2016-08-05,759.799988,776,756.599976,774.349976,773.865417,2365366
2016-08-08,777,781.799988,767.950012,771.5,771.017212,1659840
2016-08-09,772.799988,772.900024,760.099976,764.75,764.271423,877535
2016-08-10,769.700012,769.700012,758.650024,761.25,760.773621,1093959
2016-08-11,761,768.950012,759.150024,764.650024,764.171509,1006546
2016-08-12,771.900024,771.900024,760,762.900024,762.422607,1128132
2016-08-16,766.5,775.900024,762.150024,772.799988,772.316406,1826143
2016-08-17,771,771.599976,761.099976,765.650024,765.170898,814886
2016-08-18,766.900024,785.950012,766.849976,784.400024,783.90918,1765760
2016-08-19,785.950012,785.950012,774,778.75,778.262695,996170
2016-08-22,780,782,768.799988,772.849976,772.366333,612762
2016-08-23,773.349976,780,771.049988,778.349976,777.862915,572986
2016-08-24,779,781.900024,772.099976,777,776.513733,1141719
2016-08-25,778,784,772.049988,780.75,780.261414,1477112
2016-08-26,782.5,789,772.849976,780.799988,780.311401,853973
2016-08-29,780.700012,788.900024,775.150024,781.400024,780.911011,762039
2016-08-30,781.900024,787.049988,780.200012,786.150024,785.658081,799025
2016-08-31,795,814.950012,793.150024,806.900024,806.395081,3346444
2016-09-01,813,817.450012,807.5,810.700012,810.192688,1161928
2016-09-02,812,815.75,808.299988,813.599976,813.09082,930759
2016-09-06,819.900024,822,815,818.049988,817.538086,1027879
