Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,1145,1165.900024,1132.550049,1162.800049,1145.720825,1129692
2016-05-17,1165.050049,1169.25,1151.300049,1153.449951,1136.508057,1073856
2016-05-18,1151,1151,1131.5,1140.650024,1123.896118,1040661
2016-05-19,1140.099976,1142.699951,1132,1139.300049,1122.56604,963949
2016-05-20,1139.949951,1148.5,1133.599976,1140.900024,1124.142456,504158
2016-05-23,1141.949951,1149.949951,1133.199951,1136.75,1120.053467,865883
2016-05-24,1138.400024,1143.650024,1135.550049,1139.949951,1123.206421,814867
2016-05-25,1146.300049,1175.949951,1146.300049,1173.300049,1156.06665,1441837
2016-05-26,1176.099976,1188.900024,1166.25,1183.25,1165.870483,3426390
2016-05-27,1183.25,1190,1176.699951,1186.800049,1169.368286,1443796
2016-05-30,1187,1195,1178.099976,1179.75,1162.421875,953633
2016-05-31,1185.900024,1185.900024,1177.400024,1181.900024,1164.540283,1378910
2016-06-01,1182.949951,1182.949951,1171,1175.150024,1157.889404,1418908
2016-06-02,1174.699951,1180.599976,1171,1174.949951,1157.692383,1977654
2016-06-03,1180.099976,1185,1169.050049,1171.75,1154.539307,1131105
2016-06-06,1176,1182.400024,1170.050049,1171.099976,1153.898804,1386827
2016-06-07,1176.949951,1180,1167.650024,1173.699951,1156.460693,1407126
2016-06-08,1175.800049,1178,1161,1162.599976,1145.523682,1185703
2016-06-09,1162.5,1164.199951,1152.5,1159.400024,1142.37085,1162046
2016-06-10,1158.400024,1172.699951,1156.199951,1161.349976,1144.292114,1580578
2016-06-13,1154.75,1164.949951,1151.050049,1152.900024,1135.966187,830809
2016-06-14,1155,1157,1144.25,1151.849976,1134.931641,957192
2016-06-15,1155,1170.900024,1153.199951,1169.550049,1152.371704,761456
2016-06-16,1166.550049,1168.849976,1155.349976,1162.150024,1145.080322,1181942
2016-06-17,1167,1178,1165.550049,1170,1152.815063,940413
2016-06-20,1159,1179.25,1158.800049,1172.050049,1154.834961,685691
2016-06-21,1175,1175.449951,1161.199951,1166.650024,1149.514282,667742
2016-06-22,1166,1175,1166,1171.5,1154.293091,950960
2016-06-23,1169.800049,1191.849976,1167.5,1190.099976,1172.619751,981683
2016-06-24,1159.849976,1171.900024,1147,1161.900024,1144.834106,2793491
2016-06-27,1162,1169,1153.050049,1159.949951,1142.912598,1040947
2016-06-28,1161.25,1173.099976,1150,1166.949951,1149.809814,1008745
2016-06-29,1165,1169.5,1159.699951,1168.300049,1160.588257,1355167
